"","TCGA_AC_A2FM_01","TCGA_AC_A2FF_01","TCGA_AC_A2FB_01","TCGA_GI_A2C9_01","TCGA_BH_A1FE_01","TCGA_BH_A18V_01","TCGA_E2_A15K_01","TCGA_BH_A0B3_01","TCGA_BH_A0AZ_01","TCGA_BH_A0BJ_01","TCGA_BH_A0BS_01","TCGA_BH_A0BW_01","TCGA_BH_A0B7_01","TCGA_BH_A0H7_01","TCGA_A7_A13E_01","TCGA_A7_A13F_01","TCGA_E2_A15K.1_01","TCGA_BH_A18V.1_01","TCGA_BH_A18P_01","TCGA_BH_A18L_01","TCGA_BH_A1FR_01","TCGA_BH_A1EN_01","TCGA_BH_A1F8_01","TCGA_BH_A1FG_01","TCGA_BH_A1FH_01","TCGA_BH_A1FJ_01","TCGA_BH_A1EV_01","TCGA_E9_A1N4_01","TCGA_BH_A209_01","TCGA_BH_A203_01","TCGA_BH_A208_01","TCGA_BH_A204_01","TCGA_E2_A153_01","TCGA_A7_A0CE_01","TCGA_A7_A0CH_01","TCGA_BH_A0BV_01","TCGA_BH_A0BM_01","TCGA_BH_A0BC_01","TCGA_BH_A0E0_01","TCGA_BH_A0E1_01","TCGA_BH_A0DV_01","TCGA_BH_A0DT_01","TCGA_BH_A18N_01","TCGA_BH_A0DP_01","TCGA_BH_A0DK_01","TCGA_BH_A0DL_01","TCGA_BH_A0DG_01","TCGA_BH_A0DH_01","TCGA_BH_A0DD_01","TCGA_BH_A0C0_01","TCGA_BH_A0BZ_01","TCGA_BH_A0AY_01","TCGA_BH_A0BQ_01","TCGA_BH_A0AU_01","TCGA_BH_A0C3_01","TCGA_BH_A0BT_01","TCGA_BH_A0BA_01","TCGA_E2_A158_01","TCGA_BH_A0HA_01","TCGA_BH_A0H5_01","TCGA_BH_A0HK_01","TCGA_BH_A0H9_01","TCGA_BH_A0B5_01","TCGA_A7_A0DB_01","TCGA_A7_A0D9_01","TCGA_BH_A18U_01","TCGA_BH_A18S_01","TCGA_BH_A18Q_01","TCGA_BH_A18R_01","TCGA_BH_A18M_01","TCGA_BH_A18J_01","TCGA_E2_A1BC_01","TCGA_E2_A15M_01","TCGA_BH_A1EO_01","TCGA_BH_A1EU_01","TCGA_BH_A1ET_01","TCGA_BH_A1F0_01","TCGA_BH_A1F2_01","TCGA_BH_A1EW_01","TCGA_BH_A1FE.1_01","TCGA_BH_A1FD_01","TCGA_BH_A1FC_01","TCGA_BH_A1FB_01","TCGA_BH_A1FM_01","TCGA_BH_A1FN_01","TCGA_BH_A1F6_01","TCGA_E2_A15I_01","TCGA_E2_A1L7_01","TCGA_E2_A1LS_01","TCGA_E9_A1R7_01","TCGA_E9_A1RB_01","TCGA_E9_A1RC_01","TCGA_E9_A1RD_01","TCGA_E9_A1RF_01","TCGA_E9_A1RH_01","TCGA_E9_A1RI_01","TCGA_E2_A1IG_01","TCGA_E2_A1LB_01","TCGA_E9_A1ND_01","TCGA_E9_A1N5_01","TCGA_E9_A1N6_01","TCGA_E9_A1N9_01","TCGA_E9_A1NA_01","TCGA_E9_A1NF_01","TCGA_E9_A1NG_01","TCGA_GI_A2C8_01"
"RAD50",-0.28462,-0.37286,-0.45,-0.54639,0.1391,0.44921,-0.58655,-0.39151,-0.31358,0.43937,-0.1292,-0.29737,-0.26964,-0.24603,0.15902,0.11855,0.14689,0.16869,-0.38815,-0.33362,-0.093507,-0.99173,-0.47438,0.11968,-0.28781,0.22658,0.15386,-0.0075799,-0.325,-0.02049,-0.10305,0.37172,-0.15285,-0.21067,-0.082105,-0.30014,-0.17595,-0.26416,-0.04962,-0.030272,-0.047,0.12097,-0.0119,-0.048967,-0.42939,-0.51876,-0.40263,0.011383,-0.11523,-0.30674,-0.6166,0.054138,-0.13712,-0.3918,-0.54712,0.097412,-0.23781,-0.20212,0.04451,-0.087952,-0.5951,0.016128,-0.13638,-0.24166,0.17904,0.15209,-0.17462,-0.043311,-0.26208,-0.199,-0.38178,-0.17227,0.18976,-0.35959,0.25712,0.34479,-0.44167,-0.47306,-0.36947,-0.1903,-0.10081,0.16272,0.047321,-0.21031,-0.22625,-0.18715,-0.12671,0.28998,-0.59044,-0.80214,-0.26322,-0.27958,0.39458,-0.22409,-0.81746,0.11247,-0.28688,-0.28708,-0.39546,-0.33603,-0.19426,-0.050065,-0.59551,-0.11874,-0.52579,-0.19601
"RAD51",-0.2581,-0.33763,0.023347,-0.05207,0.16108,0.5058,-0.32698,-0.20917,-0.23014,-0.69296,-0.26065,-0.34968,-0.34348,0.20566,0.0039966,-0.026563,0.30272,0.71431,0.26417,-0.15593,-0.41767,-0.31202,-0.35496,-0.43929,0.20596,-0.21274,0.12345,-0.27389,0.10277,-0.31488,-0.22388,-0.14078,-0.34127,-0.31717,-0.46822,-0.25139,-0.2108,-0.18675,-0.25347,0.13323,0.18397,-0.28068,-0.4224,0.13295,-0.11969,-0.10429,-0.22789,-0.37025,-0.078445,-0.18158,-0.22462,0.042572,-0.28636,-0.028503,-0.24134,-0.1153,0.045255,-0.3123,-0.16782,-0.44221,-0.23306,-0.23427,0.44326,-0.44887,-0.027656,0.19213,-0.75212,-0.33529,-0.074617,-0.48955,0.046848,-0.86238,-0.31132,-0.044415,-0.54138,-0.36374,-0.03329,-0.058764,0.025825,0.17261,-0.19818,0.11543,-0.0056732,-0.025167,-0.32127,0.0022453,0.0076132,-0.10803,-0.35997,-0.12832,-0.11786,0.3159,-0.49096,0.054073,0.012294,-0.45284,-0.13832,0.26305,-0.37636,-0.19491,-0.18486,-0.10615,-0.56125,0.19409,-0.12708,-0.019876
"RB1",0.24406,-0.54424,-1.0988,-0.74307,-0.94647,0.86607,0.72141,-0.43803,-1.4011,-0.93162,-1.0014,-0.5284,-1.26,-1.3208,0.68505,-0.11063,0.66466,0.47569,1.45,-0.1039,-0.12124,-0.17423,-0.302,-0.18874,-1.0593,-0.10067,0.32442,-0.85798,0.35088,0.42545,0.0018578,-1.142,0.3166,0.88512,0.67375,-1.1745,-0.9914,-0.50016,-0.14679,-1.2672,-1.4767,0.56289,-0.5668,-1.4018,-1.2383,0.10918,-0.52306,-0.020108,-1.0309,0.11497,-0.24787,-1.5574,-0.46892,-0.42705,-0.20181,-0.91235,-0.19137,0.84104,-0.85956,-0.14193,0.36789,0.31862,-0.84949,0.37924,-0.61355,-0.73106,0.3972,-0.7986,0.50455,-0.19556,-0.28848,-0.36836,-0.065908,0.12433,0.38064,0.5385,0.95936,-0.074351,-0.11784,-1.1001,0.54122,-0.86371,-0.50546,-0.94517,0.39625,-0.43874,-0.64032,-1.3918,-0.78305,0.42989,-0.44777,-0.40437,-0.0039052,-0.37644,-0.91699,-0.80408,-0.72466,-1.0214,-0.022594,0.2464,-0.26385,-0.62466,0.69492,-0.4004,-0.97138,-1.1817
"RPS6",-0.4201,-1.0204,-1.8398,-0.42498,-0.62923,-0.13425,0.0065272,0.19009,-1.0913,-0.8776,0.1899,-0.17839,0.08106,-1.6865,-0.43041,-0.23055,-1.3,0.11742,-0.56035,-0.94917,-0.2627,-0.48017,-0.62031,-0.5231,-1.6647,-0.14871,-0.5365,-0.1832,0.56134,0.3625,-0.32138,-0.37517,0.0022297,-0.55858,-0.48319,-0.49603,-0.69477,-0.64593,0.0037682,-1.2533,-1.3583,-0.60071,-0.79279,-1.1227,-0.41307,-0.3922,-0.96409,-0.075076,-0.72449,-0.48992,-0.2631,-1.0636,-0.80663,-0.42551,-0.66472,-1.0062,-1.8838,0.549,-0.40173,-0.096578,-0.13767,-0.37511,-1.3578,-1.328,-1.7099,-0.35794,-0.50605,-0.17279,-0.24072,-1.64,-1.9732,-0.89185,-1.1818,-1.3984,-0.7287,-0.28709,0.24354,0.14655,-1.6049,-0.19734,-0.073417,0.71597,-0.34734,0.1951,-0.60666,-0.050256,-0.78197,-0.078577,0.21284,-0.8352,0.24318,-0.81491,-0.38687,-0.15305,-2.1456,-0.51481,-0.26035,-0.81203,0.25892,0.18777,0.1723,0.015354,0.16487,-0.71339,-0.77298,-1.0329
"SHC1",0.11019,0.21182,0.53133,0.47861,-0.20735,0.01071,0.20472,0.26262,0.347,-0.085634,0.17228,0.16674,0.25212,0.4521,-0.091332,-0.30109,-0.22855,-0.017823,0.26637,0.15032,0.049267,0.51073,-0.038798,0.12711,0.27227,-0.3232,0.81275,-0.18355,-0.24877,0.15836,-0.0078537,-0.046837,0.20481,0.2532,0.29008,0.025553,0.28573,0.35215,0.27002,0.33686,0.14214,0.17147,0.099605,-0.090774,0.13694,0.24395,0.3056,0.15167,-0.033144,0.10356,0.10172,-0.093421,0.17335,0.17655,0.31099,0.3402,0.17071,0.19739,0.24557,-0.0071337,0.27871,0.11322,0.03434,0.21215,-0.07671,0.049564,0.10554,0.12643,0.87965,0.075231,0.2947,0.25156,0.17581,0.27719,0.31121,0.22363,0.1023,0.47504,0.036213,0.1171,0.046859,-0.060194,0.16918,-0.29068,0.073847,-0.054865,0.39983,-0.1981,0.057427,0.15651,-0.14041,-0.18244,0.36088,-0.21882,0.62816,0.053102,0.0123,0.57565,-0.10186,-0.22708,-0.1889,-0.11064,0.45185,-0.20167,-0.1156,0.31011
"SMAD1",0.030023,-0.0076373,-0.17454,-0.072405,-0.021468,0.63393,0.086398,-0.20107,-0.055304,0.14598,0.10415,-0.031858,0.064847,-0.00092071,0.1733,0.11329,-0.19068,0.3443,0.24899,-0.22048,0.2357,-0.48987,-0.10682,-0.21854,-0.2136,0.46386,-0.083335,0.15659,0.16812,-0.065445,-0.11721,0.50441,-0.022289,0.096968,0.31905,0.11023,0.12813,0.19678,-0.15402,0.14464,0.15947,0.037237,-0.15115,-0.030859,0.22399,0.29736,0.31106,-0.21254,-0.0057515,-0.1964,-0.052879,0.3498,0.02683,0.089029,0.1212,-0.058747,0.11436,-0.10239,0.022556,-0.2581,0.1082,0.097222,0.057886,-0.011879,0.15001,0.11787,-0.15081,-0.24243,0.9692,0.15542,-0.0072263,-0.2319,-0.030564,-0.14763,-0.12424,-0.018506,-0.15995,-0.0009785,-0.16159,0.071153,0.1418,0.58981,0.1611,0.010736,0.0065067,-0.32122,0.068027,0.16079,-0.08385,0.027265,0.19056,-0.19061,0.15098,-0.084441,-0.76139,-0.17299,-0.021602,-0.099888,-0.33249,-0.024794,0.055107,0.69992,0.15255,-0.033631,0.21926,-0.12083
"SMAD3",-0.11546,-0.54301,-0.44829,-0.53498,-0.17998,-0.1826,-0.11789,-0.27944,-0.43742,-0.17139,-0.053098,-0.38445,-0.40765,-0.014525,0.19769,-0.18221,-0.025358,0.14553,0.066991,-0.25182,-0.1602,-0.28333,-0.344,-0.20377,-0.44389,0.060849,-0.090119,-0.095715,0.13254,-0.10749,-0.34974,0.10229,-0.22166,-0.43516,-0.45016,0.029103,-0.24693,-0.20743,-0.38635,-0.27166,-0.056739,-0.16089,0.15238,0.05003,-0.18011,-0.29935,-0.12046,0.0070287,-0.06176,-0.14039,-0.25909,-0.059884,-0.11215,-0.30698,-0.14758,-0.38533,-0.15429,-0.23472,-0.32824,-0.036743,-0.067474,-0.042947,0.31955,-0.31412,0.4473,0.26667,0.11789,-0.45502,-0.089895,-0.074594,-0.26677,-0.065192,-0.098991,-0.20825,0.16763,-0.13636,-0.66472,-0.29726,0.18832,-0.019669,0.23452,-0.20989,0.039721,0.34956,-0.34933,-0.37062,-0.19996,0.3288,-0.32006,0.063114,-0.34868,-0.39076,-0.32498,-0.28739,-0.15745,-0.058451,0.12663,-0.19785,-0.7499,-0.16765,-0.29703,-0.25974,0.21092,-0.38823,-0.15539,-0.32246
"SMAD4",0.15937,-0.022525,0.077442,-4.83e-05,-0.11584,-0.11186,0.091574,-0.014612,0.27705,-0.19225,0.18025,-0.14087,-0.033389,0.31228,-0.015199,-0.4284,-0.073188,-0.013558,-0.11624,0.063729,-0.089402,-0.17341,-0.33992,-0.25602,0.066532,-0.044056,-0.32275,-0.018971,-0.3118,-0.20203,-0.2041,-0.065596,-0.14309,-0.1766,-0.20675,-0.096862,-0.059891,-0.01003,-0.11842,0.11412,0.18772,-0.027919,-0.11765,0.19703,-0.10169,-0.15264,0.10793,-0.018714,-0.17908,-0.17073,-0.17569,0.23601,-0.051114,-0.12308,-0.15197,0.049452,0.1757,0.0096448,-0.12257,-0.13068,-0.062614,-0.068923,0.17039,-0.15655,0.18637,0.34734,-0.22111,0.022451,-0.15543,0.061441,0.021663,0.023176,0.029987,0.022002,-0.016626,-0.09585,-0.26737,-0.13011,-0.19568,-0.03147,-0.21503,0.030356,-0.044148,-0.27408,-0.2673,-0.13643,0.34945,-0.079808,0.083776,-0.19772,-0.31165,-0.12796,-0.043073,-0.19399,-0.06434,0.80001,-0.072527,0.0060896,-0.031849,-0.21778,-0.11848,-0.23317,-0.23127,-0.17497,-0.015887,-0.025628
"SRC",-0.12779,-0.041502,-0.20795,0.059177,-0.038152,-0.35085,-0.19549,-0.084334,0.013562,-0.019435,0.2399,0.21047,0.12206,-0.082234,-0.58109,-0.50195,-0.80624,-0.56194,-0.29088,0.10668,-0.24103,-0.93177,0.46173,0.097138,0.058902,-0.36624,-0.49223,0.078434,-0.22917,0.026289,-0.23271,-0.37364,-0.14068,-0.95471,-0.3034,-0.061934,-0.44729,-0.12673,-0.1977,-0.19477,-0.14669,-0.39558,-0.20225,0.20064,0.15559,0.35132,0.64561,-0.3688,-0.33139,0.084323,-0.35619,0.44004,0.52649,0.54908,-0.14474,-0.22775,-0.097095,-0.28941,0.15203,0.24634,-0.34443,0.54466,0.057595,-0.42076,0.44384,0.58832,-0.40414,0.22235,-0.59826,-0.062042,0.11322,-0.15453,-0.024212,0.023595,-0.49746,-0.28739,-0.022341,-0.077846,0.1126,0.32122,-0.59317,-0.17085,-0.057706,-0.24247,-0.21791,0.37207,-0.28042,0.51471,-0.4374,-0.07436,-0.61589,-0.39079,-0.55908,0.032168,-0.52857,-0.049766,0.15027,-0.26331,-0.38543,-0.4346,0.26395,0.1719,-0.37917,-0.37263,-0.11661,-0.091679
"STAT3",-0.555,0.26883,0.44847,0.023388,0.3977,0.68219,0.47326,0.33102,0.18918,0.43085,0.066075,0.70879,-0.033137,0.45449,-0.17093,-0.4239,0.058219,0.22002,0.18155,-0.10112,0.27512,0.25833,0.13606,0.36371,0.54647,-0.29351,0.056798,0.020724,0.10101,0.15551,0.089241,-0.49596,0.3788,0.33692,0.14494,-0.27858,0.33749,-0.043331,-0.41197,0.13911,0.3557,0.4434,-0.32039,0.14188,-0.20024,0.4103,0.22739,0.01769,-0.09194,0.014234,-0.12667,-0.18488,0.45386,-0.080298,0.39001,0.15,0.57182,-0.1436,-0.0087998,0.094785,-0.01166,0.034548,0.41323,0.19884,0.50651,0.59161,-0.049233,0.11386,-0.18365,0.52127,0.030267,0.71896,-0.26302,0.22402,0.30756,0.40694,0.44278,0.82248,0.66029,0.31732,0.006931,-0.070548,0.69452,-0.032321,0.27932,-0.07141,0.34771,0.087696,-0.082616,0.18221,0.15513,-0.033997,-0.07985,0.055981,0.069029,-0.038504,0.25848,-0.0093873,0.50447,-0.24721,-0.19102,-0.40089,0.19813,-0.19705,0.012392,0.53715
"STAT5A",0.1409,0.26193,-0.23317,-0.17371,0.12133,0.79067,0.26156,0.40218,0.34966,0.7658,0.20426,1.5049,0.54793,-0.21736,0.72548,0.94233,0.62276,0.27839,1.2388,0.029215,0.56749,0.27777,1.3006,-0.31476,0.27583,0.34785,0.0175,0.85026,1.137,0.14916,0.023873,0.53114,1.7031,0.91866,1.1329,0.77764,0.48296,0.58848,0.08578,-0.060368,0.33749,1.0617,0.72483,0.90315,-0.010297,0.36932,-0.48996,0.095557,0.76265,1.0789,0.55976,-1.2618,-0.69066,0.1667,0.072257,-0.6257,0.16087,0.98156,-0.046814,1.4595,-0.036872,0.35123,0.47574,0.29907,0.042274,0.49019,0.49669,0.61722,-0.08673,0.36738,-0.57196,1.0708,0.45244,-0.2456,0.045273,0.50612,2.558,-0.394,-0.97051,-0.22653,1.0074,1.2668,0.017405,0.39457,0.46702,0.35768,-0.2569,1.0735,1.2669,0.72106,0.38241,-0.21855,1.1404,0.48618,1.7685,0.93831,0.41739,-0.14414,1.6393,0.74057,-1.3587,0.28542,0.31335,0.35421,0.3065,0.078859
"STMN1",-0.19002,0.29318,0.58745,0.07814,0.10553,0.0051971,-0.21357,-0.018803,0.16631,0.17606,-0.16346,-0.028151,0.10336,1.0372,-0.21193,-0.0036152,-0.094477,-0.20054,-0.24151,0.56964,-0.14402,0.11448,-0.034756,-0.10795,0.73457,0.081573,-0.29463,-0.021387,-0.11185,0.076565,-0.078593,-0.14457,-0.19615,-0.04117,-0.0075827,-0.19063,0.030277,0.12266,0.085752,0.45669,0.44317,0.090043,0.087147,0.17721,0.073021,0.04925,0.29547,0.016576,0.00032039,0.0031571,0.023344,0.15443,0.084448,0.23067,0.12688,0.47954,0.35917,-0.018862,0.19386,-0.13711,-0.028457,-0.097561,0.58564,-0.076677,0.21366,-0.59241,-0.081661,0.0024638,0.046674,-0.16236,0.52612,-0.65522,-0.069114,0.14626,-0.23569,-0.2604,-0.032333,-0.069136,0.1213,0.15439,-0.050785,1.0204,0.01328,0.017238,0.22153,0.071929,0.24956,0.27521,-0.11012,-0.10228,0.001615,0.063386,-0.34919,0.095433,-0.016159,-0.096786,-0.13987,0.023838,-0.1307,-0.18517,0.039455,0.31192,-0.26325,-0.026103,0.044501,0.019995
"SYK",-0.99932,-0.94721,-1.3266,-0.69897,-0.92419,0.33941,-0.59234,0.23538,0.0077121,0.29183,-0.89998,0.44079,0.09259,-1.1973,-0.61505,0.60992,-0.54184,-0.19589,0.36843,-0.2381,0.19834,0.411,-0.21849,-1.1777,-0.72962,-0.73314,-0.19918,-0.90228,0.53307,-0.10945,-0.10117,-0.42756,-0.27533,-0.096206,-0.72216,0.376,-0.39558,0.21113,0.45804,-1.3038,-1.2756,-0.17617,-0.61112,0.78695,-0.59408,0.76895,-0.70165,-0.46241,-0.16348,0.51269,0.30884,-0.9503,-0.9322,-0.33146,-0.71719,-1.15,-1.7027,-0.72523,-0.39564,0.94146,0.58153,-0.32045,0.89426,-0.86462,-1.1228,0.15542,-1.6776,0.22406,-0.2995,-0.10598,-0.76721,-1.0223,-0.12066,-1.8576,-0.32538,-0.57178,1.1374,-0.17017,-0.50832,-0.41712,-0.35051,0.78056,-0.84254,-0.2358,0.19666,0.51901,-0.47549,1.3597,0.28666,-0.26985,-0.2155,-1.3593,-0.67148,-0.26591,-0.23019,-0.20994,-1.1324,-0.40978,0.73722,-0.046034,-0.10966,0.44884,0.2946,0.063831,-0.0081214,-0.23225
"TSC2",-0.078108,-0.081223,-0.63834,-0.34432,0.32153,-0.46466,0.49474,-0.079882,-0.33754,0.24902,0.51753,0.1077,-0.050484,-0.65023,-0.063929,0.39774,0.031126,-0.099759,0.17932,0.020506,0.12944,-0.23005,0.34211,-0.219,-0.030703,0.54676,0.1283,-0.072315,0.36916,0.10175,-0.043564,0.40096,0.53153,-0.30601,0.32998,0.51505,-0.11454,0.061768,-0.037305,-0.40749,-0.1473,0.041403,0.073404,0.25733,0.37948,-0.15306,-0.45047,0.41271,0.26542,-0.063455,0.39903,-0.4964,-0.70975,-0.42917,-0.06176,-0.62946,0.033815,-0.043788,-0.13941,0.06499,0.40585,0.64406,-0.34945,0.060269,0.025851,-0.047793,0.08424,-0.1766,-0.097584,-0.15785,-0.13077,0.24945,0.28847,-0.44843,-0.21506,0.13908,0.11967,-0.034598,-0.61911,-0.38355,-0.079826,0.64237,-0.35839,0.45749,0.31775,-0.31984,-0.29138,0.28574,0.2457,0.14432,0.68786,0.19037,0.51354,0.17196,-0.17747,0.26537,0.33128,0.11308,0.5087,0.068282,-0.37882,0.379,0.15005,0.10801,0.13752,0.11425
"KDR",1.1795,-0.13653,0.11109,0.37293,0.42085,-0.22929,0.072139,0.42013,0.17613,0.32181,0.7328,0.035875,0.08007,-0.52432,0.66935,1.2661,0.3269,0.78989,0.019013,-0.14244,0.85686,0.42836,0.089555,1.7395,-0.16907,0.76675,0.79125,0.64817,1.1006,0.5016,0.41973,0.74022,1.7259,0.80653,0.76351,0.71254,0.47353,-0.26534,0.21091,0.080731,0.3556,0.9881,1.6198,-0.10561,0.28373,0.17781,-0.26928,0.94904,0.37841,0.55215,0.35433,0.99979,0.72942,0.30766,0.49685,0.80045,-0.11193,-0.21163,0.020922,0.70671,0.96889,0.44767,-0.50915,0.8615,0.49098,0.56033,1.083,-0.12496,-0.39771,0.5737,-0.0044051,0.16911,0.17975,0.32725,0.85742,0.69374,-0.041621,0.24126,0.23371,0.11791,0.62593,0.6345,0.5097,0.70747,0.31982,0.18972,0.080985,0.35244,-0.10754,0.22854,0.54834,1.071,0.64748,0.32893,-0.45151,0.51554,1.268,0.087808,0.070808,0.84124,0.72558,-0.039863,0.07755,0.33181,0.75383,-0.0083657
"XRCC1",0.15707,-0.16062,-0.46468,-0.053247,-0.3899,-0.0086088,0.36793,-0.042481,-0.041828,0.5205,0.18092,-0.0094554,-0.40252,-0.56217,0.23925,0.36255,0.1578,-0.15844,-0.025038,0.11834,-0.24988,-0.38134,-0.16535,0.10507,-0.44286,0.24516,-0.19594,0.057725,-0.56879,-0.19793,-0.48265,0.36531,-0.013473,-0.29271,-0.057666,0.26343,-0.060346,-0.082595,0.33187,-0.19135,0.038416,0.0068333,-0.013274,-0.28622,-0.017682,-0.24926,-0.18541,-0.033016,0.12441,-0.3535,0.31924,0.48068,0.48275,0.26499,-0.23198,0.1741,0.22961,0.20053,0.30544,0.099669,-0.09224,-0.14503,-0.15288,-0.11168,0.1298,0.1667,0.020827,0.053078,-0.10607,-0.1609,-0.26362,-0.40046,0.30532,0.064475,0.17577,0.22386,-0.08503,-0.19893,0.049784,0.15808,-0.066154,0.85346,-0.067837,-0.25433,-0.31752,-0.11926,0.23944,0.057193,-0.11713,-0.31941,-0.42386,-0.10027,0.084858,0.092888,-0.18476,0.039581,0.36297,-0.24072,-0.27639,-0.058052,0.16076,0.01501,-0.13914,-0.38764,0.050094,0.0097839
"YAP1",-0.56241,-0.18458,0.062838,0.068987,0.037259,0.080421,-0.40527,-0.25472,-0.018203,0.13753,-0.19582,-0.20846,-0.095627,0.12688,-0.23887,-0.11343,-0.26224,0.050487,-0.36649,-0.20966,-0.53521,-0.39584,-0.25348,-0.062471,0.19158,-0.13993,0.042036,0.04498,-0.048934,-0.037632,0.20104,-0.53509,-0.22871,-0.33873,-0.081973,-0.30401,-0.16243,-0.0024156,-0.0094389,0.27459,0.18714,0.098527,-0.044961,-0.15675,-0.32524,-0.22528,0.071526,0.080877,-0.30955,-0.090615,-0.20164,0.38944,-0.049076,-0.3293,-0.2128,0.43167,0.084888,-0.22957,-0.020577,-0.11056,-0.041747,-0.19546,-0.045032,0.064526,0.082206,0.3405,0.0057899,-0.009525,-0.31761,0.16873,0.16074,-0.18471,-0.071198,0.62691,0.022564,-0.024808,-0.28265,-0.17157,0.31901,0.16366,-0.26376,-0.46172,0.094319,0.0071531,-0.25971,0.04371,0.19657,-0.52833,-0.47664,0.081672,-0.44679,-0.11208,-0.25164,-0.33994,0.30026,-0.095827,-0.2892,-0.060749,-0.28931,-0.41571,0.31743,-0.3249,-0.49348,-0.080776,0.12255,0.083829
"YBX1",-0.081938,-0.25512,-0.22803,0.00054854,0.38232,0.053896,-0.17122,-0.43019,-0.075944,0.051353,-0.34309,0.012735,-0.058752,-0.40123,0.45481,-0.25535,0.26737,0.459,0.11452,-0.24263,-0.14153,2.8664,0.025249,-0.13251,-0.30772,0.21933,0.46308,0.5605,0.043655,-0.072954,0.11517,0.035947,0.20794,-0.080256,-0.075128,0.32568,-0.05723,-0.064602,0.00744,-0.14034,0.76325,-0.022549,0.0078482,-0.59355,0.086,-0.24203,-0.092007,-0.015691,0.10445,0.046459,0.040302,-0.31095,-0.37696,-0.21527,-0.2922,-0.086385,-0.2088,-0.078084,-0.24265,-0.13617,0.047589,0.061401,-0.13433,0.0010256,-0.15024,0.07142,-0.13617,-0.19831,-0.1743,-0.037779,-0.14243,-0.33864,0.018404,-0.24402,0.13163,0.030503,-0.34337,0.047989,-0.27667,-0.055176,0.44726,0.31811,0.027219,0.38287,0.55774,-0.059011,-0.42245,0.42508,0.33258,-0.027173,-0.026704,0.2297,0.13433,0.53193,-0.042298,0.4218,0.31902,0.074303,0.16567,0.40821,0.056205,0.016153,0.25317,0.15475,0.42617,-0.22241
"ARAF",0.02609,0.20311,0.24939,1.1242,0.17214,0.22526,0.30956,0.61841,0.14634,-0.11506,0.62904,0.043686,0.063025,0.31913,-0.086957,0.098796,0.067957,0.42961,0.16299,0.020895,-0.078259,0.083436,0.18024,0.14604,0.044777,0.020428,0.18961,0.21974,0.010264,0.064029,0.5935,0.010618,0.2119,0.59218,0.42943,0.37267,0.17733,0.059603,0.22157,-0.00037979,0.1185,0.069925,0.053877,0.071527,0.11223,0.2696,0.14766,0.17423,-0.0032542,0.14963,0.22274,0.25937,0.15596,0.23963,0.39206,0.3657,0.064108,-0.086368,0.2054,0.19261,0.19613,0.20226,0.05272,0.22763,0.0062636,-0.20441,0.20031,-0.01938,0.3422,0.05258,-0.0083802,0.022459,-0.1154,0.10793,0.16553,0.088351,0.19141,0.13672,-0.14799,0.059028,0.12906,0.44733,-0.027825,0.028408,0.049913,0.17468,0.021278,-0.053131,0.29283,-0.065188,0.73067,0.1523,0.28998,0.024868,0.21759,0.28519,0.037415,0.30822,0.19162,-0.020529,-0.067443,0.1928,0.23226,0.041984,0.20527,0.18355
"ANXA7",0.07152,0.15886,0.02457,0.086713,0.072967,0.031983,0.36759,-0.026688,0.40681,0.29859,0.25773,-0.05625,0.13018,0.0096925,-0.28904,0.16257,0.28393,-0.10525,0.035416,0.076861,0.36221,0.17147,0.83717,0.32469,5.91e-05,0.11595,-0.072226,0.12683,-0.034537,-0.028524,0.026337,0.083604,0.054535,-0.090633,0.082437,0.052671,0.26038,0.25447,0.019153,0.1019,0.18633,0.16568,0.10869,0.44382,0.089549,-0.010922,0.31789,0.33716,0.034183,0.12601,0.093906,0.58648,0.24831,0.19793,0.076931,-0.96575,0.24339,0.044768,0.25587,0.13717,0.043933,0.077549,0.14613,0.13223,0.23749,0.51618,0.30473,0.028258,-0.13052,0.16063,-0.016859,0.37645,0.19225,-0.044514,0.079917,0.1524,-0.052096,0.18894,0.11815,0.1123,0.0064955,-0.31151,0.01798,-0.018118,0.27151,-0.0928,0.11139,0.069511,-0.16744,0.22881,0.0056612,0.1079,0.2881,-0.12719,0.28862,0.029988,0.062167,-0.056693,0.036483,-0.0096116,0.14594,-0.0047687,-0.061963,0.062508,0.2235,0.12622
"ARID1A",0.014532,0.20008,0.12122,0.059173,-0.05523,0.097783,0.22758,0.18638,0.20285,0.30127,0.31664,0.048565,0.28099,0.16016,0.24018,-0.090197,0.17778,0.084921,0.18193,0.2652,0.20317,-0.12987,-0.01327,-0.45893,0.067908,0.409,-0.20692,0.1977,0.40688,-0.0018746,-0.084888,0.08266,0.11831,-0.11515,0.27765,0.17544,-0.11135,0.16614,0.4178,0.01487,-0.30868,0.16313,0.086555,-0.21627,-0.0074994,0.20598,-0.10483,-0.14699,0.055996,-0.055923,0.093448,0.10011,0.095797,0.073524,0.12095,-0.18607,-0.13041,0.61156,0.29056,0.11046,0.24171,0.14974,0.15231,0.17456,0.27262,0.12033,0.22637,0.23216,0.23831,0.38435,-0.24427,0.073142,0.61916,-0.11145,0.14808,0.11536,-0.43815,-0.10865,0.031572,0.065682,0.24854,0.805,-0.13435,0.15635,0.15097,-0.025896,0.13001,0.43531,0.11017,-0.053817,0.32764,-0.0039483,0.17564,0.053944,-0.34009,0.079321,0.018094,-0.13361,-0.12011,0.24905,0.11072,0.24874,0.20335,0.17225,0.19072,0.06727
